quarter,state,price_index
Unit,Residential Property Price Index ;  Sydney ;,Index Numbers
2014-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,110.5
2014-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,111
2014-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,112.3
2015-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,112.7
2015-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,113.7
2015-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,115.2
2015-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,117
2016-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,117.3
2016-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,118.6
2016-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,118.8
2016-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,121.4
2017-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,121.4
2017-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,122.1
2017-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,122.9
2017-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,124
2018-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,123.3
2018-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,124.2
2018-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,125
2018-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,123.6
2019-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,121.7
2019-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,120.9
2019-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,121.8
2019-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,124
2020-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,124.8
2020-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,123.7
2020-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,125.6
2020-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,129
2021-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,134.2
2021-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,141.8
2021-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,150.4
2021-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,164.9
Unit,Residential Property Price Index ;  Adelaide ;,Index Numbers
Series Type,Residential Property Price Index ;  Adelaide ;,Original
Data Type,Residential Property Price Index ;  Adelaide ;,INDEX
Frequency,Residential Property Price Index ;  Adelaide ;,Quarter
Collection Month,Residential Property Price Index ;  Adelaide ;,3
Series Start,Residential Property Price Index ;  Adelaide ;,2003-09-01 00:00:00
Series End,Residential Property Price Index ;  Adelaide ;,2021-12-01 00:00:00
No. Obs,Residential Property Price Index ;  Adelaide ;,74
Series ID,Residential Property Price Index ;  Adelaide ;,A83728410J
2003-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,62.2
2003-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,63.9
2004-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,64.8
2004-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,65.9
2004-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,67.1
2004-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,68.6
2005-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,68.6
2005-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,69.3
